228223;36;940,13;5,61333333333333;24,9033333333333;0,0399999991059303;0,0668319665149727;True
2301066;84;589;1,2;7,5;0,042;0;True
2301067;87;745;1,6;12;0,044;0;True
2301068;83;893;2,9;13,5;0,046;0;True
2301069;73;1067;1,8;12,5;0,045;0;True
2301070;64;512;2;10;0,049;0;True
2301071;61;575;1,5;11;0,045;0;True
2301072;53;555;2,8;18;0,06;0;True
2301073;49;533;3;15;0,058;0;True
2301074;55;595;3;15;0,059;0;True
2301075;51;670;3,4;17;0,063;0;True
2301076;87;765;1,7;11;0,048;0;True
2301077;69;595;1,7;11;0,046;0;True
2301078;45;650;5,5;19;0,069;0;True
2301080;57;520;2;13,5;0,048;0;True
2301081;94;1100;1,5;12;0,065;0;True
2301082;39;725;10;24;0,062;0;True
2301083;50;590;3;14;0,042;0;True
2301084;30;580;16;26;0,078;0;True
2301086;19;30;9;27;0,084;0;True
2301087;56;555;2;11;0,045;0;True
2301088;59;650;3;16,5;0,047;0;True
2301089;44;500;3,5;17;0,051;0;True
2301117;98;760;1;8;0,044;0;True
2301120;62;500;2;10;0,043;0;True
2301123;89;620;1;7;0,04;0;True
2301125;49;555;3;15;0,065;0;True
2301126;57;620;2;12;0,045;0;True
2301128;39;400;3;14;0,054;0;True
2301129;40;600;7;19;0,083;0;True
2301130;32;350;4;15;0,06;0;True
2301131;29;250;4;9;0,046;0;True
2301132;57;500;2;9;0,043;0;True
2301133;38;470;4;14;0,061;0;True
2301134;54;500;2,5;10;0,053;0;True
2301135;50;550;4;19;0,058;0;True
2301139;40;530;5;19;0,051;0;True
2301140;48;610;5;16;0,063;0;True
2301141;45;400;0,2;16;0,048;0;True
2301142;100;700;1;7;0,059;0;True
2301143;58;530;2;12;0,055;0;True
